ACTION;START;END;RUN
{action=migrate(vm=vm#1, from=node#2, to=node#3, bw=1000)};1436506299;1436506320;23
{action=migrate(vm=vm#3, from=node#1, to=node#2, bw=500)};1436506299;1436506337;23
{action=migrate(vm=vm#8, from=node#3, to=node#0, bw=500)};1436506299;1436506355;23
{action=migrate(vm=vm#7, from=node#3, to=node#1, bw=500)};1436506299;1436506360;23
{action=migrate(vm=vm#4, from=node#3, to=node#2, bw=1000)};1436506360;1436506379;23
{action=migrate(vm=vm#6, from=node#0, to=node#3, bw=500)};1436506360;1436506419;23
{action=migrate(vm=vm#9, from=node#2, to=node#1, bw=500)};1436506360;1436506421;23
{action=migrate(vm=vm#5, from=node#1, to=node#3, bw=500)};1436506360;1436506424;23
{action=migrate(vm=vm#2, from=node#3, to=node#0, bw=500)};1436506379;1436506420;23
{action=migrate(vm=vm#0, from=node#0, to=node#3, bw=500)};1436506424;1436506462;23